STATION,GPS,HEIGHT (m),HEIGHT UNCERTAINTY (m),RATE (mm/yr),RATE UNCERTAINTY (mm/yr),EPOCH,SOLUTION,START DATE,END DATE,DISTANCE
1,BRST,44.094,0.007,-0.22,0.17,2020.0000,ULR7a,1998-10-31,2023-03-23,293
1,BRST,44.078,0.004,-1.12,0.23,2020.0000,JPL14,1998-10-31,2023-03-23,293
1,BRST,44.073,0.004,-1.09,0.41,2020.0000,NGL14,1998-10-31,2023-03-23,293
1,BRST,44.094,0.006,-1.50,0.30,2020.0000,GT3,1998-10-31,2023-03-23,293
3,SHEE,37.844,0.008,1.40,0.54,2020.0000,NGL14,1997-03-26,2019-12-07,7
3,SHEE,37.832,0.007,-1.20,0.30,2020.0000,GT3,1997-03-26,2019-12-07,7
3,SHEE,37.849,0.005,,,2020.0000,JPL14,1997-03-26,2019-12-07,7
3,SHEE,37.844,0.009,1.57,0.32,2020.0000,ULR7a,1997-03-26,2019-12-07,7
7,TGCU,32.340,0.004,0.07,0.62,2020.0000,NGL14,2008-12-10,2023-03-22,135
11,WARN,26.174,0.003,-0.06,0.14,2020.0000,JPL14,2003-02-11,2023-03-22,125
11,WARN,26.169,0.004,0.28,0.60,2020.0000,NGL14,2003-02-11,2023-03-22,125
11,WARN,26.195,0.005,0.34,0.30,2020.0000,GT3,2003-02-11,2023-03-22,125
11,WARN,26.188,0.006,0.60,0.14,2020.0000,ULR7a,2003-02-11,2023-03-22,125
21,ABER,42.973,0.006,0.79,0.45,2020.0000,NGL14,1998-09-18,2022-10-23,692
21,ABER,43.068,0.007,2.11,0.30,2020.0000,GT3,1998-09-18,2022-10-23,692
52,CASC,46.498,0.004,-0.58,0.35,2020.0000,NGL14,1998-05-01,2023-03-23,1133
52,CASC,46.502,0.003,-0.48,0.20,2020.0000,JPL14,1998-05-01,2023-03-23,1133
52,CASC,46.472,0.007,0.17,0.30,2020.0000,GT3,1998-05-01,2023-03-23,1133
52,CASC,46.454,0.006,-0.12,0.13,2020.0000,ULR7a,1998-05-01,2023-03-23,1133
61,MARS,42.054,0.004,-0.34,0.41,2020.0000,JPL14,1998-07-17,2023-03-23,0
61,MARS,42.044,0.005,-1.45,0.52,2020.0000,NGL14,1998-07-17,2023-03-23,0
61,MARS,42.066,0.007,-0.68,0.30,2020.0000,GT3,1998-07-17,2023-03-23,0
61,MARS,42.084,0.008,-0.49,0.27,2020.0000,ULR7a,1998-07-17,2023-03-23,0
94,P209,26.594,0.004,-2.03,0.63,2020.0000,NGL14,2003-06-17,2023-03-23,306
94,P209,26.577,0.005,-1.91,0.30,2020.0000,GT3,2003-06-17,2023-03-23,306
95,NSTG,42.121,0.013,0.74,0.83,2020.0000,NGL14,1998-03-15,2009-11-26,6
